name,layout,ruling_date,ruling_text
"Alrund, God of the Cosmos // Hakka, Whispering Raven",modal_dfc,2021-02-05,There is a single triangle icon in the top left corner of the front face. There is a double triangle icon in the top left corner of the back face.
"Alrund, God of the Cosmos // Hakka, Whispering Raven",modal_dfc,2021-02-05,"To determine whether it is legal to play a modal double-faced card, consider only the characteristics of the face you’re playing and ignore the other face’s characteristics."
"Alrund, God of the Cosmos // Hakka, Whispering Raven",modal_dfc,2021-02-05,"If an effect allows you to play a specific modal double-faced card, you may cast it as a spell or play it as a land, as determined by which face you choose to play. If an effect allows you to cast (rather than “play”) a specific modal double-faced card, y"
"Alrund, God of the Cosmos // Hakka, Whispering Raven",modal_dfc,2021-02-05,"If an effect allows you to play a land or cast a spell from among a group of cards, you may play or cast a modal double-faced card with any face that fits the criteria of that effect."
"Alrund, God of the Cosmos // Hakka, Whispering Raven",modal_dfc,2021-02-05,"The converted mana cost of a modal double-faced card is based on the characteristics of the face that’s being considered. On the stack and battlefield, consider whichever face is up. In all other zones, consider only the front face. This is different than"
"Alrund, God of the Cosmos // Hakka, Whispering Raven",modal_dfc,2021-02-05,A modal double-faced card can’t be transformed or be put onto the battlefield transformed. Ignore any instruction to transform a modal double-faced card or to put one onto the battlefield transformed.
"Alrund, God of the Cosmos // Hakka, Whispering Raven",modal_dfc,2021-02-05,"If an effect puts a double-faced card onto the battlefield, it enters with its front face up. If that front face can’t be put onto the battlefield, it doesn’t enter the battlefield."
"Alrund, God of the Cosmos // Hakka, Whispering Raven",modal_dfc,2021-02-05,"If an effect instructs a player to choose a card name, the name of either face may be chosen. If that effect or a linked ability refers to a spell with the chosen name being cast and/or a land with the chosen name being played, it considers only the chose"
"Alrund, God of the Cosmos // Hakka, Whispering Raven",modal_dfc,2021-02-05,"In the Commander variant, a double-faced card’s color identity is determined by the mana costs and mana symbols in the rules text of both faces combined. If either face has a color indicator or basic land type, those are also considered."
Barkchannel Pathway // Tidechannel Pathway,modal_dfc,2021-02-05,There is a single triangle icon in the top left corner of the front face. There is a double triangle icon in the top left corner of the back face.
Barkchannel Pathway // Tidechannel Pathway,modal_dfc,2021-02-05,"To determine whether it is legal to play a modal double-faced card, consider only the characteristics of the face you’re playing and ignore the other face’s characteristics."
Barkchannel Pathway // Tidechannel Pathway,modal_dfc,2021-02-05,"If an effect allows you to play a specific modal double-faced card, you may cast it as a spell or play it as a land, as determined by which face you choose to play. If an effect allows you to cast (rather than “play”) a specific modal double-faced card, y"
Barkchannel Pathway // Tidechannel Pathway,modal_dfc,2021-02-05,"If an effect allows you to play a land or cast a spell from among a group of cards, you may play or cast a modal double-faced card with any face that fits the criteria of that effect."
Barkchannel Pathway // Tidechannel Pathway,modal_dfc,2021-02-05,"The converted mana cost of a modal double-faced card is based on the characteristics of the face that’s being considered. On the stack and battlefield, consider whichever face is up. In all other zones, consider only the front face. This is different than"
Barkchannel Pathway // Tidechannel Pathway,modal_dfc,2021-02-05,A modal double-faced card can’t be transformed or be put onto the battlefield transformed. Ignore any instruction to transform a modal double-faced card or to put one onto the battlefield transformed.
Barkchannel Pathway // Tidechannel Pathway,modal_dfc,2021-02-05,"If an effect puts a double-faced card onto the battlefield, it enters with its front face up. If that front face can’t be put onto the battlefield, it doesn’t enter the battlefield."
Barkchannel Pathway // Tidechannel Pathway,modal_dfc,2021-02-05,"If an effect instructs a player to choose a card name, the name of either face may be chosen. If that effect or a linked ability refers to a spell with the chosen name being cast and/or a land with the chosen name being played, it considers only the chose"
Barkchannel Pathway // Tidechannel Pathway,modal_dfc,2021-02-05,"In the Commander variant, a double-faced card’s color identity is determined by the mana costs and mana symbols in the rules text of both faces combined. If either face has a color indicator or basic land type, those are also considered."
Barkchannel Pathway // Tidechannel Pathway,modal_dfc,2021-02-05,There is a single triangle icon in the top left corner of the front face. There is a double triangle icon in the top left corner of the back face.
Barkchannel Pathway // Tidechannel Pathway,modal_dfc,2021-02-05,"To determine whether it is legal to play a modal double-faced card, consider only the characteristics of the face you’re playing and ignore the other face’s characteristics."
Barkchannel Pathway // Tidechannel Pathway,modal_dfc,2021-02-05,"If an effect allows you to play a specific modal double-faced card, you may cast it as a spell or play it as a land, as determined by which face you choose to play. If an effect allows you to cast (rather than “play”) a specific modal double-faced card, y"
Barkchannel Pathway // Tidechannel Pathway,modal_dfc,2021-02-05,"If an effect allows you to play a land or cast a spell from among a group of cards, you may play or cast a modal double-faced card with any face that fits the criteria of that effect."
Barkchannel Pathway // Tidechannel Pathway,modal_dfc,2021-02-05,"The converted mana cost of a modal double-faced card is based on the characteristics of the face that’s being considered. On the stack and battlefield, consider whichever face is up. In all other zones, consider only the front face. This is different than"
Barkchannel Pathway // Tidechannel Pathway,modal_dfc,2021-02-05,A modal double-faced card can’t be transformed or be put onto the battlefield transformed. Ignore any instruction to transform a modal double-faced card or to put one onto the battlefield transformed.
Barkchannel Pathway // Tidechannel Pathway,modal_dfc,2021-02-05,"If an effect puts a double-faced card onto the battlefield, it enters with its front face up. If that front face can’t be put onto the battlefield, it doesn’t enter the battlefield."
Barkchannel Pathway // Tidechannel Pathway,modal_dfc,2021-02-05,"If an effect instructs a player to choose a card name, the name of either face may be chosen. If that effect or a linked ability refers to a spell with the chosen name being cast and/or a land with the chosen name being played, it considers only the chose"
Barkchannel Pathway // Tidechannel Pathway,modal_dfc,2021-02-05,"In the Commander variant, a double-faced card’s color identity is determined by the mana costs and mana symbols in the rules text of both faces combined. If either face has a color indicator or basic land type, those are also considered."
"Birgi, God of Storytelling // Harnfel, Horn of Bounty",modal_dfc,2021-02-05,There is a single triangle icon in the top left corner of the front face. There is a double triangle icon in the top left corner of the back face.
"Birgi, God of Storytelling // Harnfel, Horn of Bounty",modal_dfc,2021-02-05,"To determine whether it is legal to play a modal double-faced card, consider only the characteristics of the face you’re playing and ignore the other face’s characteristics."
"Birgi, God of Storytelling // Harnfel, Horn of Bounty",modal_dfc,2021-02-05,"If an effect allows you to play a specific modal double-faced card, you may cast it as a spell or play it as a land, as determined by which face you choose to play. If an effect allows you to cast (rather than “play”) a specific modal double-faced card, y"
"Birgi, God of Storytelling // Harnfel, Horn of Bounty",modal_dfc,2021-02-05,"If an effect allows you to play a land or cast a spell from among a group of cards, you may play or cast a modal double-faced card with any face that fits the criteria of that effect."
"Birgi, God of Storytelling // Harnfel, Horn of Bounty",modal_dfc,2021-02-05,"The converted mana cost of a modal double-faced card is based on the characteristics of the face that’s being considered. On the stack and battlefield, consider whichever face is up. In all other zones, consider only the front face. This is different than"
"Birgi, God of Storytelling // Harnfel, Horn of Bounty",modal_dfc,2021-02-05,A modal double-faced card can’t be transformed or be put onto the battlefield transformed. Ignore any instruction to transform a modal double-faced card or to put one onto the battlefield transformed.
"Birgi, God of Storytelling // Harnfel, Horn of Bounty",modal_dfc,2021-02-05,"If an effect puts a double-faced card onto the battlefield, it enters with its front face up. If that front face can’t be put onto the battlefield, it doesn’t enter the battlefield."
"Birgi, God of Storytelling // Harnfel, Horn of Bounty",modal_dfc,2021-02-05,"If an effect instructs a player to choose a card name, the name of either face may be chosen. If that effect or a linked ability refers to a spell with the chosen name being cast and/or a land with the chosen name being played, it considers only the chose"
"Birgi, God of Storytelling // Harnfel, Horn of Bounty",modal_dfc,2021-02-05,"In the Commander variant, a double-faced card’s color identity is determined by the mana costs and mana symbols in the rules text of both faces combined. If either face has a color indicator or basic land type, those are also considered."
"Birgi, God of Storytelling // Harnfel, Horn of Bounty",modal_dfc,2021-02-05,Birgi’s first ability uses the stack and can be responded to. It isn’t a mana ability.
"Birgi, God of Storytelling // Harnfel, Horn of Bounty",modal_dfc,2021-02-05,You must still attack with a creature you control to activate its boast ability.
"Birgi, God of Storytelling // Harnfel, Horn of Bounty",modal_dfc,2021-02-05,The cards exiled by Harnfel’s activated ability are exiled face up.
"Birgi, God of Storytelling // Harnfel, Horn of Bounty",modal_dfc,2021-02-05,You may play those cards that turn even if Harnfel leaves the battlefield or another player gains control of it.
"Birgi, God of Storytelling // Harnfel, Horn of Bounty",modal_dfc,2021-02-05,"Playing the cards exiled with Harnfel follows the normal rules for playing those cards. You must pay their costs, if any, and you must follow all applicable timing rules. For example, if one of the cards is a creature card, you can cast that card by payin"
"Birgi, God of Storytelling // Harnfel, Horn of Bounty",modal_dfc,2021-02-05,"Unless an effect allows you to play additional lands that turn, you can play land cards exiled with Harnfel only if you haven’t played a land yet that turn. In most cases, if you exile two land cards with Harnfel, you won’t be able to play both."
"Birgi, God of Storytelling // Harnfel, Horn of Bounty",modal_dfc,2021-02-05,Any cards exiled with Harnfel that you don’t play remain exiled.
"Birgi, God of Storytelling // Harnfel, Horn of Bounty",modal_dfc,2021-02-05,"The card you discard to activate the ability isn’t part of “those cards” and can’t be played, even if it somehow ends up in exile."
"Birgi, God of Storytelling // Harnfel, Horn of Bounty",modal_dfc,2021-02-05,There is a single triangle icon in the top left corner of the front face. There is a double triangle icon in the top left corner of the back face.
"Birgi, God of Storytelling // Harnfel, Horn of Bounty",modal_dfc,2021-02-05,"To determine whether it is legal to play a modal double-faced card, consider only the characteristics of the face you’re playing and ignore the other face’s characteristics."
"Birgi, God of Storytelling // Harnfel, Horn of Bounty",modal_dfc,2021-02-05,"If an effect allows you to play a specific modal double-faced card, you may cast it as a spell or play it as a land, as determined by which face you choose to play. If an effect allows you to cast (rather than “play”) a specific modal double-faced card, y"
"Birgi, God of Storytelling // Harnfel, Horn of Bounty",modal_dfc,2021-02-05,"If an effect allows you to play a land or cast a spell from among a group of cards, you may play or cast a modal double-faced card with any face that fits the criteria of that effect."
"Birgi, God of Storytelling // Harnfel, Horn of Bounty",modal_dfc,2021-02-05,"The converted mana cost of a modal double-faced card is based on the characteristics of the face that’s being considered. On the stack and battlefield, consider whichever face is up. In all other zones, consider only the front face. This is different than"
"Birgi, God of Storytelling // Harnfel, Horn of Bounty",modal_dfc,2021-02-05,A modal double-faced card can’t be transformed or be put onto the battlefield transformed. Ignore any instruction to transform a modal double-faced card or to put one onto the battlefield transformed.
"Birgi, God of Storytelling // Harnfel, Horn of Bounty",modal_dfc,2021-02-05,"If an effect puts a double-faced card onto the battlefield, it enters with its front face up. If that front face can’t be put onto the battlefield, it doesn’t enter the battlefield."
"Birgi, God of Storytelling // Harnfel, Horn of Bounty",modal_dfc,2021-02-05,"If an effect instructs a player to choose a card name, the name of either face may be chosen. If that effect or a linked ability refers to a spell with the chosen name being cast and/or a land with the chosen name being played, it considers only the chose"
"Birgi, God of Storytelling // Harnfel, Horn of Bounty",modal_dfc,2021-02-05,"In the Commander variant, a double-faced card’s color identity is determined by the mana costs and mana symbols in the rules text of both faces combined. If either face has a color indicator or basic land type, those are also considered."
"Birgi, God of Storytelling // Harnfel, Horn of Bounty",modal_dfc,2021-02-05,Birgi’s first ability uses the stack and can be responded to. It isn’t a mana ability.
"Birgi, God of Storytelling // Harnfel, Horn of Bounty",modal_dfc,2021-02-05,You must still attack with a creature you control to activate its boast ability.
"Birgi, God of Storytelling // Harnfel, Horn of Bounty",modal_dfc,2021-02-05,The cards exiled by Harnfel’s activated ability are exiled face up.
"Birgi, God of Storytelling // Harnfel, Horn of Bounty",modal_dfc,2021-02-05,You may play those cards that turn even if Harnfel leaves the battlefield or another player gains control of it.
"Birgi, God of Storytelling // Harnfel, Horn of Bounty",modal_dfc,2021-02-05,"Playing the cards exiled with Harnfel follows the normal rules for playing those cards. You must pay their costs, if any, and you must follow all applicable timing rules. For example, if one of the cards is a creature card, you can cast that card by payin"
"Birgi, God of Storytelling // Harnfel, Horn of Bounty",modal_dfc,2021-02-05,"Unless an effect allows you to play additional lands that turn, you can play land cards exiled with Harnfel only if you haven’t played a land yet that turn. In most cases, if you exile two land cards with Harnfel, you won’t be able to play both."
"Birgi, God of Storytelling // Harnfel, Horn of Bounty",modal_dfc,2021-02-05,Any cards exiled with Harnfel that you don’t play remain exiled.
"Birgi, God of Storytelling // Harnfel, Horn of Bounty",modal_dfc,2021-02-05,"The card you discard to activate the ability isn’t part of “those cards” and can’t be played, even if it somehow ends up in exile."
Blightstep Pathway // Searstep Pathway,modal_dfc,2021-02-05,There is a single triangle icon in the top left corner of the front face. There is a double triangle icon in the top left corner of the back face.
Blightstep Pathway // Searstep Pathway,modal_dfc,2021-02-05,"To determine whether it is legal to play a modal double-faced card, consider only the characteristics of the face you’re playing and ignore the other face’s characteristics."
Blightstep Pathway // Searstep Pathway,modal_dfc,2021-02-05,"If an effect allows you to play a specific modal double-faced card, you may cast it as a spell or play it as a land, as determined by which face you choose to play. If an effect allows you to cast (rather than “play”) a specific modal double-faced card, y"
Blightstep Pathway // Searstep Pathway,modal_dfc,2021-02-05,"If an effect allows you to play a land or cast a spell from among a group of cards, you may play or cast a modal double-faced card with any face that fits the criteria of that effect."
Blightstep Pathway // Searstep Pathway,modal_dfc,2021-02-05,"The converted mana cost of a modal double-faced card is based on the characteristics of the face that’s being considered. On the stack and battlefield, consider whichever face is up. In all other zones, consider only the front face. This is different than"
Blightstep Pathway // Searstep Pathway,modal_dfc,2021-02-05,A modal double-faced card can’t be transformed or be put onto the battlefield transformed. Ignore any instruction to transform a modal double-faced card or to put one onto the battlefield transformed.
Blightstep Pathway // Searstep Pathway,modal_dfc,2021-02-05,"If an effect puts a double-faced card onto the battlefield, it enters with its front face up. If that front face can’t be put onto the battlefield, it doesn’t enter the battlefield."
Blightstep Pathway // Searstep Pathway,modal_dfc,2021-02-05,"If an effect instructs a player to choose a card name, the name of either face may be chosen. If that effect or a linked ability refers to a spell with the chosen name being cast and/or a land with the chosen name being played, it considers only the chose"
Blightstep Pathway // Searstep Pathway,modal_dfc,2021-02-05,"In the Commander variant, a double-faced card’s color identity is determined by the mana costs and mana symbols in the rules text of both faces combined. If either face has a color indicator or basic land type, those are also considered."
Blightstep Pathway // Searstep Pathway,modal_dfc,2021-02-05,There is a single triangle icon in the top left corner of the front face. There is a double triangle icon in the top left corner of the back face.
Blightstep Pathway // Searstep Pathway,modal_dfc,2021-02-05,"To determine whether it is legal to play a modal double-faced card, consider only the characteristics of the face you’re playing and ignore the other face’s characteristics."
Blightstep Pathway // Searstep Pathway,modal_dfc,2021-02-05,"If an effect allows you to play a specific modal double-faced card, you may cast it as a spell or play it as a land, as determined by which face you choose to play. If an effect allows you to cast (rather than “play”) a specific modal double-faced card, y"
Blightstep Pathway // Searstep Pathway,modal_dfc,2021-02-05,"If an effect allows you to play a land or cast a spell from among a group of cards, you may play or cast a modal double-faced card with any face that fits the criteria of that effect."
Blightstep Pathway // Searstep Pathway,modal_dfc,2021-02-05,"The converted mana cost of a modal double-faced card is based on the characteristics of the face that’s being considered. On the stack and battlefield, consider whichever face is up. In all other zones, consider only the front face. This is different than"
Blightstep Pathway // Searstep Pathway,modal_dfc,2021-02-05,A modal double-faced card can’t be transformed or be put onto the battlefield transformed. Ignore any instruction to transform a modal double-faced card or to put one onto the battlefield transformed.
Blightstep Pathway // Searstep Pathway,modal_dfc,2021-02-05,"If an effect puts a double-faced card onto the battlefield, it enters with its front face up. If that front face can’t be put onto the battlefield, it doesn’t enter the battlefield."
Blightstep Pathway // Searstep Pathway,modal_dfc,2021-02-05,"If an effect instructs a player to choose a card name, the name of either face may be chosen. If that effect or a linked ability refers to a spell with the chosen name being cast and/or a land with the chosen name being played, it considers only the chose"
Blightstep Pathway // Searstep Pathway,modal_dfc,2021-02-05,"In the Commander variant, a double-faced card’s color identity is determined by the mana costs and mana symbols in the rules text of both faces combined. If either face has a color indicator or basic land type, those are also considered."
"Cosima, God of the Voyage // The Omenkeel",modal_dfc,2021-02-05,There is a single triangle icon in the top left corner of the front face. There is a double triangle icon in the top left corner of the back face.
"Cosima, God of the Voyage // The Omenkeel",modal_dfc,2021-02-05,"To determine whether it is legal to play a modal double-faced card, consider only the characteristics of the face you’re playing and ignore the other face’s characteristics."
"Cosima, God of the Voyage // The Omenkeel",modal_dfc,2021-02-05,"If an effect allows you to play a specific modal double-faced card, you may cast it as a spell or play it as a land, as determined by which face you choose to play. If an effect allows you to cast (rather than “play”) a specific modal double-faced card, y"
"Cosima, God of the Voyage // The Omenkeel",modal_dfc,2021-02-05,"If an effect allows you to play a land or cast a spell from among a group of cards, you may play or cast a modal double-faced card with any face that fits the criteria of that effect."
"Cosima, God of the Voyage // The Omenkeel",modal_dfc,2021-02-05,"The converted mana cost of a modal double-faced card is based on the characteristics of the face that’s being considered. On the stack and battlefield, consider whichever face is up. In all other zones, consider only the front face. This is different than"
"Cosima, God of the Voyage // The Omenkeel",modal_dfc,2021-02-05,A modal double-faced card can’t be transformed or be put onto the battlefield transformed. Ignore any instruction to transform a modal double-faced card or to put one onto the battlefield transformed.
"Cosima, God of the Voyage // The Omenkeel",modal_dfc,2021-02-05,"If an effect puts a double-faced card onto the battlefield, it enters with its front face up. If that front face can’t be put onto the battlefield, it doesn’t enter the battlefield."
"Cosima, God of the Voyage // The Omenkeel",modal_dfc,2021-02-05,"If an effect instructs a player to choose a card name, the name of either face may be chosen. If that effect or a linked ability refers to a spell with the chosen name being cast and/or a land with the chosen name being played, it considers only the chose"
"Cosima, God of the Voyage // The Omenkeel",modal_dfc,2021-02-05,"In the Commander variant, a double-faced card’s color identity is determined by the mana costs and mana symbols in the rules text of both faces combined. If either face has a color indicator or basic land type, those are also considered."
"Cosima, God of the Voyage // The Omenkeel",modal_dfc,2021-02-05,"Cosima’s ability triggers only if Cosima is on the battlefield at the beginning of your upkeep, and you may exile Cosima only if it is still on the battlefield as the ability resolves."
"Cosima, God of the Voyage // The Omenkeel",modal_dfc,2021-02-05,"While the triggered ability Cosima gains is resolving, if you don’t put a voyage counter on Cosima, you’ll immediately return it to the battlefield and draw cards equal to the number of voyage counters Cosima had on it in exile. Players can’t respond to t"
"Cosima, God of the Voyage // The Omenkeel",modal_dfc,2021-02-05,"You may choose to return Cosima to the battlefield even if it doesn’t have any voyage counters on it. If you do, it won’t enter with any +1/+1 counters on it and you won’t draw any cards."
"Cosima, God of the Voyage // The Omenkeel",modal_dfc,2021-02-05,"If a land enters the battlefield under your control while Cosima is exiled and has the added triggered ability, that ability will trigger. As the ability tries to resolve, it will check to see if Cosima is still in exile. If Cosima has left exile before t"
"Cosima, God of the Voyage // The Omenkeel",modal_dfc,2021-02-05,"The Omenkeel doesn’t allow you to play additional lands during your turn, nor does it allow you to play lands at times you normally can’t. In most cases, you’ll be able to play only one land from among cards exiled with The Omenkeel during each of your tu"
"Cosima, God of the Voyage // The Omenkeel",modal_dfc,2021-02-05,"You can play lands from among cards exiled with The Omenkeel for as long as they remain exiled, even if The Omenkeel leaves the battlefield or another player gains control of it."
"Cosima, God of the Voyage // The Omenkeel",modal_dfc,2021-02-05,There is a single triangle icon in the top left corner of the front face. There is a double triangle icon in the top left corner of the back face.
"Cosima, God of the Voyage // The Omenkeel",modal_dfc,2021-02-05,"To determine whether it is legal to play a modal double-faced card, consider only the characteristics of the face you’re playing and ignore the other face’s characteristics."
"Cosima, God of the Voyage // The Omenkeel",modal_dfc,2021-02-05,"If an effect allows you to play a specific modal double-faced card, you may cast it as a spell or play it as a land, as determined by which face you choose to play. If an effect allows you to cast (rather than “play”) a specific modal double-faced card, y"
"Cosima, God of the Voyage // The Omenkeel",modal_dfc,2021-02-05,"If an effect allows you to play a land or cast a spell from among a group of cards, you may play or cast a modal double-faced card with any face that fits the criteria of that effect."
"Cosima, God of the Voyage // The Omenkeel",modal_dfc,2021-02-05,"The converted mana cost of a modal double-faced card is based on the characteristics of the face that’s being considered. On the stack and battlefield, consider whichever face is up. In all other zones, consider only the front face. This is different than"
"Cosima, God of the Voyage // The Omenkeel",modal_dfc,2021-02-05,A modal double-faced card can’t be transformed or be put onto the battlefield transformed. Ignore any instruction to transform a modal double-faced card or to put one onto the battlefield transformed.
"Cosima, God of the Voyage // The Omenkeel",modal_dfc,2021-02-05,"If an effect puts a double-faced card onto the battlefield, it enters with its front face up. If that front face can’t be put onto the battlefield, it doesn’t enter the battlefield."
"Cosima, God of the Voyage // The Omenkeel",modal_dfc,2021-02-05,"If an effect instructs a player to choose a card name, the name of either face may be chosen. If that effect or a linked ability refers to a spell with the chosen name being cast and/or a land with the chosen name being played, it considers only the chose"
"Cosima, God of the Voyage // The Omenkeel",modal_dfc,2021-02-05,"In the Commander variant, a double-faced card’s color identity is determined by the mana costs and mana symbols in the rules text of both faces combined. If either face has a color indicator or basic land type, those are also considered."
"Cosima, God of the Voyage // The Omenkeel",modal_dfc,2021-02-05,"Cosima’s ability triggers only if Cosima is on the battlefield at the beginning of your upkeep, and you may exile Cosima only if it is still on the battlefield as the ability resolves."
"Cosima, God of the Voyage // The Omenkeel",modal_dfc,2021-02-05,"While the triggered ability Cosima gains is resolving, if you don’t put a voyage counter on Cosima, you’ll immediately return it to the battlefield and draw cards equal to the number of voyage counters Cosima had on it in exile. Players can’t respond to t"
"Cosima, God of the Voyage // The Omenkeel",modal_dfc,2021-02-05,"You may choose to return Cosima to the battlefield even if it doesn’t have any voyage counters on it. If you do, it won’t enter with any +1/+1 counters on it and you won’t draw any cards."
"Cosima, God of the Voyage // The Omenkeel",modal_dfc,2021-02-05,"If a land enters the battlefield under your control while Cosima is exiled and has the added triggered ability, that ability will trigger. As the ability tries to resolve, it will check to see if Cosima is still in exile. If Cosima has left exile before t"
"Cosima, God of the Voyage // The Omenkeel",modal_dfc,2021-02-05,"The Omenkeel doesn’t allow you to play additional lands during your turn, nor does it allow you to play lands at times you normally can’t. In most cases, you’ll be able to play only one land from among cards exiled with The Omenkeel during each of your tu"
"Cosima, God of the Voyage // The Omenkeel",modal_dfc,2021-02-05,"You can play lands from among cards exiled with The Omenkeel for as long as they remain exiled, even if The Omenkeel leaves the battlefield or another player gains control of it."
Darkbore Pathway // Slitherbore Pathway,modal_dfc,2021-02-05,There is a single triangle icon in the top left corner of the front face. There is a double triangle icon in the top left corner of the back face.
Darkbore Pathway // Slitherbore Pathway,modal_dfc,2021-02-05,"To determine whether it is legal to play a modal double-faced card, consider only the characteristics of the face you’re playing and ignore the other face’s characteristics."
Darkbore Pathway // Slitherbore Pathway,modal_dfc,2021-02-05,"If an effect allows you to play a specific modal double-faced card, you may cast it as a spell or play it as a land, as determined by which face you choose to play. If an effect allows you to cast (rather than “play”) a specific modal double-faced card, y"
Darkbore Pathway // Slitherbore Pathway,modal_dfc,2021-02-05,"If an effect allows you to play a land or cast a spell from among a group of cards, you may play or cast a modal double-faced card with any face that fits the criteria of that effect."
Darkbore Pathway // Slitherbore Pathway,modal_dfc,2021-02-05,"The converted mana cost of a modal double-faced card is based on the characteristics of the face that’s being considered. On the stack and battlefield, consider whichever face is up. In all other zones, consider only the front face. This is different than"
Darkbore Pathway // Slitherbore Pathway,modal_dfc,2021-02-05,A modal double-faced card can’t be transformed or be put onto the battlefield transformed. Ignore any instruction to transform a modal double-faced card or to put one onto the battlefield transformed.
Darkbore Pathway // Slitherbore Pathway,modal_dfc,2021-02-05,"If an effect puts a double-faced card onto the battlefield, it enters with its front face up. If that front face can’t be put onto the battlefield, it doesn’t enter the battlefield."
Darkbore Pathway // Slitherbore Pathway,modal_dfc,2021-02-05,"If an effect instructs a player to choose a card name, the name of either face may be chosen. If that effect or a linked ability refers to a spell with the chosen name being cast and/or a land with the chosen name being played, it considers only the chose"
Darkbore Pathway // Slitherbore Pathway,modal_dfc,2021-02-05,"In the Commander variant, a double-faced card’s color identity is determined by the mana costs and mana symbols in the rules text of both faces combined. If either face has a color indicator or basic land type, those are also considered."
Darkbore Pathway // Slitherbore Pathway,modal_dfc,2021-02-05,There is a single triangle icon in the top left corner of the front face. There is a double triangle icon in the top left corner of the back face.
Darkbore Pathway // Slitherbore Pathway,modal_dfc,2021-02-05,"To determine whether it is legal to play a modal double-faced card, consider only the characteristics of the face you’re playing and ignore the other face’s characteristics."
Darkbore Pathway // Slitherbore Pathway,modal_dfc,2021-02-05,"If an effect allows you to play a specific modal double-faced card, you may cast it as a spell or play it as a land, as determined by which face you choose to play. If an effect allows you to cast (rather than “play”) a specific modal double-faced card, y"
Darkbore Pathway // Slitherbore Pathway,modal_dfc,2021-02-05,"If an effect allows you to play a land or cast a spell from among a group of cards, you may play or cast a modal double-faced card with any face that fits the criteria of that effect."
Darkbore Pathway // Slitherbore Pathway,modal_dfc,2021-02-05,"The converted mana cost of a modal double-faced card is based on the characteristics of the face that’s being considered. On the stack and battlefield, consider whichever face is up. In all other zones, consider only the front face. This is different than"
Darkbore Pathway // Slitherbore Pathway,modal_dfc,2021-02-05,A modal double-faced card can’t be transformed or be put onto the battlefield transformed. Ignore any instruction to transform a modal double-faced card or to put one onto the battlefield transformed.
